agent_role,tool_name,action_type,data_sensitivity,destination_category,timestamp_norm,mean_sensitivity,max_sensitivity,mean_destination,max_destination,prev_tool_count,prev_sensitive_reads,prev_external_transmits,prev_risky_actions,max_prev_risk,cumulative_risk,task_type,agent_count,label,trajectory_id
2,1,0,0,1,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,0
3,7,1,0,0,0.2222,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,0,2,0,1
1,0,0,0,0,0.3333,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,0,2,0,2
1,7,1,0,0,0.4444,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,0,2,0,3
3,6,1,0,0,0.5556,0.0,0.0,0.25,1.0,4,0,0,0,0.5,0.0,0,2,0,4
1,1,0,0,0,0.6667,0.0,0.0,0.2,1.0,5,0,0,0,0.5,0.0,0,2,0,5
1,1,0,1,0,0.7778,0.0,0.0,0.16666666666666666,1.0,6,0,0,0,0.5,0.0,0,2,0,6
1,6,1,0,1,0.8889,0.14285714285714285,1.0,0.14285714285714285,1.0,7,1,0,1,0.5,0.14285714285714285,0,2,0,7
3,2,0,1,1,1.0,0.125,1.0,0.25,1.0,8,1,0,1,0.5,0.125,0,2,0,8
3,2,0,1,0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,3,0,9
2,7,1,0,0,0.5,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,0,3,0,10
3,1,0,0,1,0.75,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,0,3,0,11
1,0,0,0,0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,0,3,0,12
2,1,0,0,1,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,2,0,13
3,0,0,0,0,0.3333,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,2,2,0,14
3,1,0,0,0,0.5,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,2,2,0,15
