agent_role,tool_name,action_type,data_sensitivity,destination_category,timestamp_norm,mean_sensitivity,max_sensitivity,mean_destination,max_destination,prev_tool_count,prev_sensitive_reads,prev_external_transmits,prev_risky_actions,max_prev_risk,cumulative_risk,task_type,agent_count,label,trajectory_id
1,2,0,0,0,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,4,0,0
3,6,1,0,0,0.2222,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,2,4,0,1
3,6,1,0,0,0.3333,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,2,4,0,2
3,1,0,1,1,0.4444,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,2,4,0,3
3,2,0,0,1,0.5556,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,2,4,0,4
3,2,0,1,0,0.6667,0.2,1.0,0.4,1.0,5,1,0,1,0.5,0.2,2,4,0,5
3,2,0,0,1,0.7778,0.3333333333333333,1.0,0.3333333333333333,1.0,6,2,0,2,0.5,0.3333333333333333,2,4,0,6
2,0,0,0,1,0.8889,0.2857142857142857,1.0,0.42857142857142855,1.0,7,2,0,2,0.5,0.2857142857142857,2,4,0,7
3,0,0,0,1,1.0,0.25,1.0,0.5,1.0,8,2,0,2,0.5,0.25,2,4,0,8
1,1,0,0,0,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,9
2,7,1,0,0,0.3333,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,2,0,10
2,1,0,0,0,0.5,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,2,0,11
2,0,0,0,0,0.6667,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,2,0,12
3,7,1,0,0,0.8333,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0,2,0,13
1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0,2,0,14
1,6,1,0,0,0.1429,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,15
