agent_role,tool_name,action_type,data_sensitivity,destination_category,timestamp_norm,mean_sensitivity,max_sensitivity,mean_destination,max_destination,prev_tool_count,prev_sensitive_reads,prev_external_transmits,prev_risky_actions,max_prev_risk,cumulative_risk,task_type,agent_count,label,trajectory_id
1,6,1,0,0,0.125,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,3,0,0
2,0,0,1,0,0.25,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,3,0,1
2,7,1,0,0,0.375,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,0,3,0,2
1,7,1,0,0,0.5,0.3333333333333333,1.0,0.0,0.0,3,1,0,1,0.0,0.3333333333333333,0,3,0,3
2,1,0,0,1,0.625,0.25,1.0,0.0,0.0,4,1,0,1,0.0,0.25,0,3,0,4
1,2,0,1,1,0.75,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,0,3,0,5
1,7,1,0,0,0.875,0.3333333333333333,1.0,0.3333333333333333,1.0,6,2,0,2,0.5,0.3333333333333333,0,3,0,6
1,1,0,0,0,1.0,0.2857142857142857,1.0,0.2857142857142857,1.0,7,2,0,2,0.5,0.2857142857142857,0,3,0,7
1,7,1,1,1,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,8
1,6,1,0,0,0.3333,1.0,1.0,1.0,1.0,1,1,0,1,0.5,1.0,1,4,0,9
2,1,0,0,1,0.5,0.5,1.0,0.5,1.0,2,1,0,1,0.5,0.5,1,4,0,10
2,0,0,0,0,0.6667,0.3333333333333333,1.0,0.6666666666666666,1.0,3,1,0,1,0.5,0.3333333333333333,1,4,0,11
3,6,1,0,0,0.8333,0.25,1.0,0.5,1.0,4,1,0,1,0.5,0.25,1,4,0,12
2,0,0,1,0,1.0,0.2,1.0,0.4,1.0,5,1,0,1,0.5,0.2,1,4,0,13
1,7,1,0,0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,3,0,14
2,1,0,0,0,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,3,0,15
1,0,0,0,1,0.75,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,3,0,16
2,6,1,0,1,1.0,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,0,3,0,17
3,7,1,0,0,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,3,0,18
1,6,1,0,0,0.3333,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,2,3,0,19
1,0,0,1,1,0.5,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,2,3,0,20
3,0,0,0,0,0.6667,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,2,3,0,21
1,1,0,0,0,0.8333,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,2,3,0,22
2,0,0,0,0,1.0,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,2,3,0,23
1,1,0,0,0,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,24
2,2,0,0,0,0.2222,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,4,0,25
1,6,1,0,0,0.3333,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,1,4,0,26
1,7,1,0,0,0.4444,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,1,4,0,27
1,6,1,0,0,0.5556,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,1,4,0,28
2,7,1,0,0,0.6667,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,1,4,0,29
3,7,1,0,1,0.7778,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.0,1,4,0,30
3,7,1,0,0,0.8889,0.0,0.0,0.14285714285714285,1.0,7,0,0,0,0.5,0.0,1,4,0,31
1,2,0,0,1,1.0,0.0,0.0,0.125,1.0,8,0,0,0,0.5,0.0,1,4,0,32
3,6,1,0,1,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,4,0,33
2,0,0,0,0,0.2222,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,0,4,0,34
2,0,0,0,0,0.3333,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,0,4,0,35
1,1,0,0,0,0.4444,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,0,4,0,36
3,2,0,0,0,0.5556,0.0,0.0,0.25,1.0,4,0,0,0,0.5,0.0,0,4,0,37
3,1,0,0,0,0.6667,0.0,0.0,0.2,1.0,5,0,0,0,0.5,0.0,0,4,0,38
3,6,1,0,0,0.7778,0.0,0.0,0.16666666666666666,1.0,6,0,0,0,0.5,0.0,0,4,0,39
2,6,1,0,1,0.8889,0.0,0.0,0.14285714285714285,1.0,7,0,0,0,0.5,0.0,0,4,0,40
2,7,1,1,0,1.0,0.0,0.0,0.25,1.0,8,0,0,0,0.5,0.0,0,4,0,41
