agent_role,tool_name,action_type,data_sensitivity,destination_category,timestamp_norm,mean_sensitivity,max_sensitivity,mean_destination,max_destination,prev_tool_count,prev_sensitive_reads,prev_external_transmits,prev_risky_actions,max_prev_risk,cumulative_risk,task_type,agent_count,label,trajectory_id
1,2,0,0,1,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,0
2,6,1,0,0,0.2,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,1,4,0,1
1,6,1,0,1,0.3,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,1,4,0,2
1,6,1,0,1,0.4,0.0,0.0,0.6666666666666666,1.0,3,0,0,0,0.5,0.0,1,4,0,3
3,0,0,1,0,0.5,0.0,0.0,0.75,1.0,4,0,0,0,0.5,0.0,1,4,0,4
1,7,1,0,1,0.6,0.2,1.0,0.6,1.0,5,1,0,1,0.5,0.2,1,4,0,5
3,1,0,1,1,0.7,0.16666666666666666,1.0,0.6666666666666666,1.0,6,1,0,1,0.5,0.16666666666666666,1,4,0,6
3,1,0,0,1,0.8,0.2857142857142857,1.0,0.7142857142857143,1.0,7,2,0,2,0.5,0.2857142857142857,1,4,0,7
3,1,0,0,0,0.9,0.25,1.0,0.75,1.0,8,2,0,2,0.5,0.25,1,4,0,8
2,2,0,1,0,1.0,0.2222222222222222,1.0,0.6666666666666666,1.0,9,2,0,2,0.5,0.2222222222222222,1,4,0,9
3,2,0,0,0,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,10
3,7,1,1,0,0.2222,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,2,0,11
3,1,0,0,0,0.3333,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,0,2,0,12
2,7,1,0,1,0.4444,0.3333333333333333,1.0,0.0,0.0,3,1,0,1,0.0,0.3333333333333333,0,2,0,13
2,1,0,0,0,0.5556,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,0,2,0,14
