threshold,attack_success_rate,task_completion_rate,false_block_rate,model_type
0.05,0.26666666666666666,1.0,0.0,action
0.1,0.26666666666666666,1.0,0.0,action
0.15000000000000002,0.26666666666666666,1.0,0.0,action
0.2,0.26666666666666666,1.0,0.0,action
0.25,0.26666666666666666,1.0,0.0,action
0.3,0.26666666666666666,1.0,0.0,action
0.35000000000000003,0.26666666666666666,1.0,0.0,action
0.4,0.26666666666666666,1.0,0.0,action
0.45,0.26666666666666666,1.0,0.0,action
0.5,0.26666666666666666,1.0,0.0,action
0.55,0.26666666666666666,1.0,0.0,action
0.6000000000000001,0.26666666666666666,1.0,0.0,action
0.6500000000000001,0.26666666666666666,1.0,0.0,action
0.7000000000000001,0.26666666666666666,1.0,0.0,action
0.7500000000000001,0.26666666666666666,1.0,0.0,action
0.8,0.26666666666666666,1.0,0.0,action
0.05,0.0,1.0,0.0,trajectory
0.1,0.0,1.0,0.0,trajectory
0.15000000000000002,0.0,1.0,0.0,trajectory
0.2,0.0,1.0,0.0,trajectory
0.25,0.0,1.0,0.0,trajectory
0.3,0.0,1.0,0.0,trajectory
0.35000000000000003,0.0,1.0,0.0,trajectory
0.4,0.0,1.0,0.0,trajectory
0.45,0.1,1.0,0.0,trajectory
0.5,0.18333333333333332,1.0,0.0,trajectory
0.55,0.18333333333333332,1.0,0.0,trajectory
0.6000000000000001,0.18333333333333332,1.0,0.0,trajectory
0.6500000000000001,0.18333333333333332,1.0,0.0,trajectory
0.7000000000000001,0.18333333333333332,1.0,0.0,trajectory
0.7500000000000001,0.18333333333333332,1.0,0.0,trajectory
0.8,0.18333333333333332,1.0,0.0,trajectory
